model,source,source_sha256,args,args_sha256,T_fact,D_fact,L_fact,M_fact,ffn_fact,readout_fact,dense_params_static_fact,block_params_static_fact,flops_per_sample_estimate,flops_basis,historical_run_binding,source_count_method_line,result_status,train_dates_current,test_date_current
v1,src/models/rankmixer/cvr_bn_rankmixer_v1.py,9cf0a7c508d7cf9be9c78b9cac1c6540a4539559b36e828e07e73ae09cefc6ee,,,16,768,2,3072,GELU per-token x1,mean+linear,167293157,151127040,335944329,prior_document_static_estimate,unverified,,result_present,,
v1_lrfix,src/models/rankmixer/cvr_bn_rankmixer_v1_lrfix.py,57a2ad6f1b7d47ed3c3ae94b85a7aa2a309bad59cc08165ec749555a33c917c9,,,16,768,2,3072,GELU per-token x1,mean+linear,167293157,151127040,335944329,prior_document_static_estimate,unverified,,no_distinct_result,,
v2,src/models/rankmixer/cvr_bn_rankmixer_v2.py,15d4a0af5809dc82a2b738cb6664df2282369b3555dcf3ed3dc2169698344bde,bash/set-rankmixer-v2-args.txt,745de4cbba9b3ee2c364bb7a64bbba5e5ba2e3371e1a7dd8550bc64b42e5fbb8,16,768,2,1536,GELU per-token x1,gated pool+bucket cross,95809126,75577344,192547107,prior_document_static_estimate,unverified,,result_present,2026-07-01:2026-07-01,2026-07-02:2026-07-02
v3,src/models/rankmixer/cvr_bn_rankmixer_v3.py,9a37ecddfdc1f4fd30955313e1920e6dfcd80e981c83949180b28ce5636b5e8c,bash/set-rankmixer-v3-args.txt,83b3a430333d32c3ec1c6bf6a425deaf3337c002ae030d0605f42b6ac62c2ddb,16,768,2,1536,GELU per-token x1,gated pool+bucket cross,95809126,75577344,192547107,prior_document_static_estimate,unverified,,result_present,2026-07-01:2026-07-01,2026-07-02:2026-07-02
v4,src/models/rankmixer/cvr_bn_rankmixer_v4.py,c0a9d45e756e28618dc373edd3bec3acf6d4c8d8e6f205e3c4762b060b4bcc2b,bash/set-rankmixer-v4-args.txt,77730f320f092b63ab34764fc4759b6c0f0438fb24583055e1ede43cc89157c8,16,768,2,1536,GELU per-token x1,v3+QI cross,96439272,75577344,193818155,prior_document_static_estimate,unverified,,result_present,2026-07-01:2026-07-01,2026-07-02:2026-07-02
v5,src/models/rankmixer/cvr_bn_rankmixer_v5.py,56165cc36b2388be843c7ddb0237e971c9dfdda0dfd502cc060ce05761bf583f,bash/set-rankmixer-v5-args.txt,69a2c2c1c9b43e12ac7cae35e1e6a12914139ef722646d736846f4abb60df985,32,1024,2,704,SwiGLU per-token x2,global pool+gated flat+deep head,348432486,277266432,705277790,prior_document_static_estimate,unverified,,result_present,2026-07-01:2026-07-01,2026-07-02:2026-07-02
v6,src/models/rankmixer/cvr_bn_rankmixer_v6.py,00096ccaf48b15dd486ca45c98fca43c3360f0ee05a517223c1dbb63da9ef4ad,bash/set-rankmixer-v6-args.txt,0cb968803b51de427de23a2a55a16ec9576e33099860e9409db18e14d0e682e4,32,512,2,704,SwiGLU per-token x2,global pool+gated flat+deep head,177217126,138723328,358638942,prior_document_static_estimate,unverified,,result_present,2026-07-01:2026-07-01,2026-07-02:2026-07-02
v7,src/models/rankmixer/cvr_bn_rankmixer_v7.py,cf77394ce904fa7f4eaa4b7380bfc13acb8062ca2a8ca0c54d1bf32d082d8e3e,bash/set-rankmixer-v7-args.txt,1892f55c9532d50234479d9305378b48f349558312c5fdc8ee2dce9c37ce4469,16,768,2,1536,GELU per-token x1,v3+deep head,102113126,75577344,205185571,prior_document_static_estimate,unverified,,result_present,2026-07-01:2026-07-01,2026-07-02:2026-07-02
v6_e2,src/models/rankmixer/cvr_bn_rankmixer_v6_e2.py,1a25244423285c5ff7f48fd235fd60a2ea89748cbcd99c7441b6d1178cb4e2d7,bash/set-rankmixer-v6-e2-args.txt,c40a554d3cf7059a5ca4e70644c7e1a244e227bc7a21f42f1fa20aa43d950533,32,512,2,704,SwiGLU per-token x2,pure_flat,199367013,138723328,398962687,recomputed_static_arithmetic_estimate,unverified,739,result_present,2026-08-14:2026-08-14,2026-08-15:2026-08-15
v6_e2_small,src/models/rankmixer/cvr_bn_rankmixer_v6_e2_small.py,0a76ddc1e9f847b57ce16e2fea251d270dae6169526382f4449e202c2d7b651d,bash/set-rankmixer-v6-e2-small-args.txt,a70c5673e08e442c3ef5befba7a145e1eb80a5abc5264affdece75e30e69b9c7,32,256,2,704,SwiGLU per-token x2,pure_flat,102356069,69451776,204818431,recomputed_static_arithmetic_estimate,unverified,751,result_present,2026-08-14:2026-08-14,2026-08-15:2026-08-15
