chain_start,model_id,n_dates,first_test_date,last_test_date,first_auc,first_gap,last_auc,last_gap,mean_auc,mean_gap,positive_days_vs_base,mean_abs_copc_error,canonical_auc_cells
2026-07-01,base(bn-senet-dcnm),15,2026-07-02,2026-07-16,0.864538,0.0,0.869715,0.0,0.867744333333,0.0,0,0.005594266667,B26;B27;B28;B29;B30;B31;B32;B33;B34;B35;B36;B37;B38;B39;B40
2026-07-01,bn_rankmixer_v1,4,2026-07-02,2026-07-05,0.862033,-0.002505,0.863436,-0.002678,0.86317025,-0.002666,0,0.0116215,G26;G27;G28;G29
2026-07-01,bn_rankmixer_v2,1,2026-07-02,2026-07-02,0.86269,-0.001848,0.86269,-0.001848,0.86269,-0.001848,0,0.015013,J26
2026-07-01,bn_rankmixer_v3,7,2026-07-02,2026-07-08,0.862991,-0.001547,0.866401,-0.001087,0.865005285714,-0.001209571429,0,0.008738,M26;M27;M28;M29;M30;M31;M32
2026-07-01,bn_rankmixer_v4,1,2026-07-02,2026-07-02,0.862709,-0.001829,0.862709,-0.001829,0.862709,-0.001829,0,0.004958,P26
2026-07-01,bn_rankmixer_v5,3,2026-07-02,2026-07-04,0.863747,-0.000791,0.866454,-0.000606,0.865043333333,-0.000700333333,0,0.006619333333,V26;V27;V28
2026-07-01,rankmixer_v1,8,2026-07-02,2026-07-09,0.858606,-0.005932,0.863714,-0.0047,0.86136225,-0.0051275,0,0.009613,D26;D27;D28;D29;D30;D31;D32;D33
2026-08-15,base(bn-senet-dcnm),11,2026-08-16,2026-08-26,0.86696,0.0,0.869582,0.0,0.868688636364,0.0,0,0.006901727273,B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14
2026-08-15,bn_rankmixer_v5,1,2026-08-16,2026-08-16,0.864163,-0.002797,0.864163,-0.002797,0.864163,-0.002797,0,0.004807,D4
2026-08-15,bn_rankmixer_v6,4,2026-08-16,2026-08-19,0.866017,-0.000943,0.868878,-0.00099,0.86749475,-0.00090625,0,0.00472875,G4;G5;G6;G7
2026-08-15,bn_rankmixer_v6_e2,6,2026-08-16,2026-08-21,0.866562,-0.000398,0.868819,-0.000492,0.8683005,-0.000436,0,0.007035666667,J4;J5;J6;J7;J8;J9
2026-08-15,bn_rankmixer_v6_e2_small,6,2026-08-16,2026-08-21,0.86651,-0.00045,0.86884,-0.000471,0.868259166667,-0.000477333333,0,0.011774166667,M4;M5;M6;M7;M8;J74
2026-08-15,bn_rankmixer_v6_e2_small_1,1,2026-08-16,2026-08-16,0.866085,-0.000875,0.866085,-0.000875,0.866085,-0.000875,0,0.000299,M69
2026-08-15,bn_rankmixer_v6_e2_small_2,2,2026-08-16,2026-08-17,0.866261,-0.000699,0.867183,-0.000684,0.866722,-0.0006915,0,0.0032125,P69;P70
2026-08-15,bn_rankmixer_v6_e2_small_3,5,2026-08-16,2026-08-20,0.866559,-0.000401,0.869335,-0.000169,0.8683322,-0.0002894,0,0.0120376,V69;V70;V71;V72;V73
2026-08-15,bn_rankmixer_v6_e3,4,2026-08-16,2026-08-19,0.866386,-0.000574,0.869211,-0.000657,0.86783725,-0.00056375,0,0.00788125,P4;P5;P6;P7
2026-08-15,bn_rankmixer_v6_e4,3,2026-08-16,2026-08-18,0.866333,-0.000627,0.868349,-0.00056,0.867361333333,-0.000550666667,0,0.003480333333,V4;V5;V6
2026-08-15,bn_rankmixer_v7,1,2026-08-16,2026-08-16,0.865866,-0.001094,0.865866,-0.001094,0.865866,-0.001094,0,0.003265,Y4
2026-08-15,bn_rankmixer_v8,1,2026-08-16,2026-08-16,0.866615,-0.000345,0.866615,-0.000345,0.866615,-0.000345,0,0.013728,AB4
2026-08-15,bn_rankmixer_v9,1,2026-08-16,2026-08-16,0.865254,-0.001706,0.865254,-0.001706,0.865254,-0.001706,0,0.00673,AE4
2026-08-15,cvr-senet-mature-rankmixer-v1,9,2026-08-16,2026-08-24,0.866934,-2.6e-05,0.868061,8e-05,0.868681444444,4.5444444e-05,7,0.011135888889,D48;D49;D50;D51;D52;D53;D54;D55;D56
2026-08-15,cvr-senet-mature-rankmixer-v4,1,2026-08-16,2026-08-16,0.866206,-0.000754,0.866206,-0.000754,0.866206,-0.000754,0,0.016601,G48
2026-08-15,cvr-senet-mature-rankmixer-v5,1,2026-08-16,2026-08-16,0.866289,-0.000671,0.866289,-0.000671,0.866289,-0.000671,0,0.002561,J48
2026-08-15,unimixer_v1,1,2026-08-16,2026-08-16,0.865662,-0.001298,0.865662,-0.001298,0.865662,-0.001298,0,0.00365,AH4
