chain_start,left_model,right_model,dates,n_dates,first_day_delta,mean_delta,warm_mean_delta,min_delta,max_delta,positive_days,daily_deltas
2026-07-01,rankmixer_v1,bn_rankmixer_v1,2026-07-02;2026-07-03;2026-07-04;2026-07-05,4,0.003427,0.00273375,0.002502666667,0.002306,0.003427,4,0.003427;0.002757;0.002445;0.002306
2026-07-01,bn_rankmixer_v1,bn_rankmixer_v2,2026-07-02,1,0.000657,0.000657,,0.000657,0.000657,1,0.000657
2026-07-01,bn_rankmixer_v2,bn_rankmixer_v3,2026-07-02,1,0.000301,0.000301,,0.000301,0.000301,1,0.000301
2026-07-01,bn_rankmixer_v3,bn_rankmixer_v4,2026-07-02,1,-0.000282,-0.000282,,-0.000282,-0.000282,0,-0.000282
2026-07-01,bn_rankmixer_v3,bn_rankmixer_v5,2026-07-02;2026-07-03;2026-07-04,3,0.000756,0.000637666667,0.0005785,0.000552,0.000756,3,0.000756;0.000605;0.000552
2026-08-15,bn_rankmixer_v5,bn_rankmixer_v6,2026-08-16,1,0.001854,0.001854,,0.001854,0.001854,1,0.001854
2026-08-15,bn_rankmixer_v6,bn_rankmixer_v6_e2,2026-08-16;2026-08-17;2026-08-18;2026-08-19,4,0.000545,0.00047925,0.000457333333,0.0004,0.000545,4,0.000545;0.000400;0.000444;0.000528
2026-08-15,bn_rankmixer_v6_e2,bn_rankmixer_v6_e3,2026-08-16;2026-08-17;2026-08-18;2026-08-19,4,-0.000176,-0.00013675,-0.000123666667,-0.000195,-7.2e-05,0,-0.000176;-0.000072;-0.000104;-0.000195
2026-08-15,bn_rankmixer_v6_e2,bn_rankmixer_v6_e2_small,2026-08-16;2026-08-17;2026-08-18;2026-08-19;2026-08-20;2026-08-21,6,-5.2e-05,-4.1333333e-05,-3.92e-05,-6.7e-05,2.1e-05,1,-0.000052;-0.000038;-0.000065;-0.000067;-0.000047;0.000021
2026-08-15,bn_rankmixer_v6_e2_small,bn_rankmixer_v6_e4,2026-08-16;2026-08-17;2026-08-18,3,-0.000177,-8.3666667e-05,-3.7e-05,-0.000177,-2.6e-05,0,-0.000177;-0.000048;-0.000026
2026-08-15,bn_rankmixer_v6_e2_small,bn_rankmixer_v6_e2_small_1,2026-08-16,1,-0.000425,-0.000425,,-0.000425,-0.000425,0,-0.000425
2026-08-15,bn_rankmixer_v6_e2_small_1,bn_rankmixer_v6_e2_small_2,2026-08-16,1,0.000176,0.000176,,0.000176,0.000176,1,0.000176
2026-08-15,bn_rankmixer_v6_e2_small,bn_rankmixer_v6_e2_small_3,2026-08-16;2026-08-17;2026-08-18;2026-08-19;2026-08-20,5,4.9e-05,0.0001892,0.00022425,4.9e-05,0.000294,5,0.000049;0.000080;0.000275;0.000248;0.000294
2026-08-15,bn_rankmixer_v6_e2,bn_rankmixer_v6_e2_small_3,2026-08-16;2026-08-17;2026-08-18;2026-08-19;2026-08-20,5,-3e-06,0.0001354,0.00017,-3e-06,0.000247,4,-0.000003;0.000042;0.000210;0.000181;0.000247
2026-08-15,bn_rankmixer_v6_e2_small_2,bn_rankmixer_v6_e2_small_3,2026-08-16;2026-08-17,2,0.000298,0.0003225,0.000347,0.000298,0.000347,2,0.000298;0.000347
2026-08-15,cvr-senet-mature-rankmixer-v1,cvr-senet-mature-rankmixer-v4,2026-08-16,1,-0.000728,-0.000728,,-0.000728,-0.000728,0,-0.000728
2026-08-15,cvr-senet-mature-rankmixer-v1,cvr-senet-mature-rankmixer-v5,2026-08-16,1,-0.000645,-0.000645,,-0.000645,-0.000645,0,-0.000645
2026-08-15,cvr-senet-mature-rankmixer-v4,cvr-senet-mature-rankmixer-v5,2026-08-16,1,8.3e-05,8.3e-05,,8.3e-05,8.3e-05,1,0.000083
2026-08-15,bn_rankmixer_v6,bn_rankmixer_v7,2026-08-16,1,-0.000151,-0.000151,,-0.000151,-0.000151,0,-0.000151
2026-08-15,bn_rankmixer_v6,bn_rankmixer_v8,2026-08-16,1,0.000598,0.000598,,0.000598,0.000598,1,0.000598
2026-08-15,bn_rankmixer_v6,bn_rankmixer_v9,2026-08-16,1,-0.000763,-0.000763,,-0.000763,-0.000763,0,-0.000763
2026-08-15,bn_rankmixer_v6,unimixer_v1,2026-08-16,1,-0.000355,-0.000355,,-0.000355,-0.000355,0,-0.000355
